"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"Reciprocal_filial_piety","0.08",0.0556459480889869,1.48247713829708,0.139057740488628,"","Step 1","Self_disclosure",0.01,0.477343859364829,"0.01",377,NA,NA,NA,"d_cleaned_step3","","*","Yes"
"Authoritarian_filial_piety","0",0.055660081432688,-0.0487076277129068,0.961178366747677,"","Step 1","Self_disclosure",0.01,0.477343859364829,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0526184948142465,-0.0624194423294765,0.950262426515458,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","0",0.0525337452976554,0.0422027242112108,0.96635979401831,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.08",0.0563270768499854,1.50076772715409,0.134266191502822,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","*","Yes"
"Authoritarian_filial_piety","0",0.0560245883579105,-0.0649913662682106,0.948215879267318,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0",0.0602189794104367,-0.062967531835168,0.949826269256923,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.03",0.065692462954006,0.467985847675536,0.640069507605147,"","Step 2","Self_disclosure",0.01,0.742448829018157,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Self_disclosure",NA,NA,NA,NA,"0.001",0.121,0.886,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0510728906811438,2.63140341414578e-16,1,"","Step 1","Conflict_management",0.02,0.0261337567811813,"0.02*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.07",0.0518574225245286,-1.28377863565687,0.200016327846388,"","Step 1","Conflict_management",0.02,0.0261337567811813,"0.02*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.12*",0.0551444775946189,2.13638826272119,0.0332981168147585,"*","Step 1","Conflict_management",0.02,0.0261337567811813,"0.02*",377,NA,NA,NA,"d_cleaned_step3","*","**","Yes"
"Authoritarian_filial_piety","-0.11*",0.055158483571367,-2.03139986081556,0.0429229734716644,"*","Step 1","Conflict_management",0.02,0.0261337567811813,"0.02*",377,NA,NA,NA,"d_cleaned_step3","*","*","No"
"(Intercept)","-0.01",0.0521279314200065,-0.096214718766566,0.923401991888374,"","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.07",0.0520439720250384,-1.29780962677877,0.19515906402688,"","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.12*",0.0558019382631692,2.19199086785498,0.0290010064890277,"*","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","*","**","Yes"
"Authoritarian_filial_piety","-0.12*",0.0555022698780152,-2.07676163627369,0.0385113707062616,"*","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","*","*","No"
"Helicopter_parenting:Reciprocal_filial_piety","-0.04",0.0596575565297264,-0.681903965285114,0.495725153810665,"","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.01",0.0650800106648163,0.20020620420492,0.841429012613607,"","Step 2","Conflict_management",0.03,0.0841302168384171,"0.03",377,NA,NA,NA,"d_cleaned_step3","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Conflict_management",NA,NA,NA,NA,"0.001",0.237,0.789,"d_cleaned_step3","","","No"
"(Intercept)","0",0.050048763010899,3.58221953296107e-15,0.999999999999997,"","Step 1","Social_competence",0.04,0.000766084670388258,"0.04***",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.1*",0.0508082927625307,-1.97292587190969,0.0492264857251161,"*","Step 1","Social_competence",0.04,0.000766084670388258,"0.04***",385,NA,NA,NA,"d_with_outliers","","*","Yes"
